Run,NF,fb,xb1,xb2,xb3,xb4,xb5
32,9245,8.65014726514346e-11,-5.959096655413357e-07,4.307545368440491e-08,-1.2120309393352305e-07,-7.751336801452995e-08,-2.415050410251686e-07
33,9234,9.212897111865459e-11,-2.470760531619637e-07,6.111836503465807e-07,-3.1782509243996926e-08,6.472956910173781e-08,-1.568331259518979e-07
34,9104,8.789413641352439e-11,-2.2727368990646722e-07,7.407280780399117e-08,-3.892064096575179e-08,5.033162106781545e-07,3.6198286018721457e-07
35,9513,2.687272626644699e-11,1.5180228523304492e-07,-1.6283036197081246e-07,-2.522239987750665e-07,1.0001828884216923e-08,1.4892885283459344e-07
36,9009,8.919442961996538e-11,1.4284534731984832e-07,-8.814156440150363e-08,-4.798619705529685e-07,4.361769698600305e-07,2.9928722463046046e-08
37,9053,8.468958867524634e-11,-6.02606982970089e-08,-3.305863058952355e-07,3.8458278276973134e-07,3.442991082841829e-07,2.1791197628620046e-07
38,9153,9.539036227579345e-11,4.421960478094516e-07,-6.105474958461812e-08,2.200012538991481e-07,-1.6135231532465934e-07,4.5508761556566693e-07
39,9132,9.199396799886017e-11,-4.2292162393488465e-08,-1.7578479585525862e-07,-3.779738454903545e-07,-1.2171832598334608e-07,-5.227792368847708e-07
40,9124,9.683276402938645e-11,-2.5420712588485164e-07,6.292752267716754e-08,-2.785173412948372e-08,-1.7281379946321973e-07,-6.235997136615473e-07
41,9623,6.473044322774513e-11,9.899055823033438e-08,2.621583744127255e-07,-2.4350548768532475e-07,-4.313956878756408e-07,4.833125900128857e-08
42,9270,9.231371222995222e-11,3.49491311968897e-07,2.5070391956618956e-07,2.7037119203442807e-07,-2.2900228740832344e-07,3.9341491908770256e-07
43,9427,2.7711166694643907e-11,2.4787707970870533e-08,-4.2365771810405244e-08,3.5551752616926786e-07,-3.753128764573425e-09,1.043822076503006e-07
44,9650,9.116263299802085e-11,-1.779541612305301e-07,-1.2659166928097315e-07,-4.856552961733409e-07,1.591771088930375e-07,-3.8807103449844437e-07
45,9445,5.540812253457261e-11,1.9093734071470435e-07,-8.563350573639188e-09,-3.015707357173493e-07,3.8831123555459815e-07,-3.199172720984778e-08
46,9102,9.890754881780595e-11,4.542588789112404e-07,2.9268162645267984e-07,-2.067328042635105e-08,-3.591148107522057e-07,-2.777558239728304e-07
47,9115,8.046896482483135e-11,-5.83812366657992e-07,1.2101054803856575e-07,-1.4141756156197195e-07,-1.5195875361222956e-07,8.379292343864533e-08
48,8636,9.623590813134797e-11,-4.1969408052579687e-07,-9.517230211478412e-08,1.9855600070981588e-07,-4.412888727140492e-07,-2.563983783399603e-07
49,8470,9.201528428093297e-11,-2.004964485150519e-07,5.566933924923252e-07,-3.8875192729200385e-08,3.256326897175146e-07,-7.818093279547436e-08
50,9518,9.130474154517287e-11,-2.0322143722685492e-07,-1.2868162621730692e-08,-4.086409428425438e-07,-3.792935459902727e-08,5.003285769069836e-07

Success,50/50,100.00%
Mean NF ,9031.96
Std NF ,348.24
per sd ,3.86 %
