Run,NF,fb,xb1,xb2,xb3,xb4,xb5,xb6,xb7,xb8,xb9,xb10,xb11,xb12,xb13,xb14,xb15,xb16,xb17,xb18,xb19,xb20,xb21,xb22,xb23,xb24,xb25,xb26,xb27,xb28,xb29,xb30
11,113172,9.791678579063046e-11,1.4754208917201965e-11,2.2115366148699594e-11,2.348748349307049e-13,7.064035334520947e-12,1.645418931843294e-11,-2.990720476672554e-11,2.907275030765253e-11,2.9070468978456978e-11,2.982865717904359e-11,-2.6320079633639148e-11,-1.4297010725581673e-12,1.945135858505639e-11,-2.470307114108819e-11,-8.749500831803716e-12,7.681539366877274e-12,-1.5237556606034433e-11,5.6936532655833406e-11,-2.6301132027554523e-11,-2.967095461517389e-11,-3.248872322957881e-12,-3.670676960528728e-11,-3.077381138688044e-11,2.0692246293522613e-11,-9.499226148385783e-12,-2.486459932324598e-11,2.4123689206011755e-11,-1.7508247097812765e-11,-3.9921788888838495e-11,-2.619940954314491e-11,-4.418875359184606e-13
12,112957,9.674439027662629e-11,3.629165905406344e-11,4.816720874214725e-11,6.575447942915116e-12,1.5814172311419296e-11,1.82484760262379e-11,3.98007068432711e-11,1.1788087504605952e-11,-1.719186226285692e-11,-3.231446160498947e-11,-2.8394215573151464e-12,2.1114969248295074e-13,-2.6946525058292328e-11,-3.228284013062436e-11,2.5541905688648828e-11,-4.6538793015703e-11,1.8654913296001555e-11,-1.5217709606951105e-11,6.246981347056628e-13,-2.6051087841672278e-11,1.1769029898422537e-12,9.255105983723306e-12,8.058527672487064e-13,-5.319170916541991e-11,2.2667857395034146e-11,9.950420292078707e-13,-1.577164758991433e-12,7.353894174813447e-12,-3.7031513507168384e-12,-2.8735248473811445e-11,6.47431419601921e-12
13,113926,9.940182010836907e-11,-1.3440344450526267e-11,4.577408039976943e-12,3.716920473010803e-11,-1.050267378667314e-11,-3.498050686225728e-11,1.5574227031079432e-11,7.893863981926655e-12,-5.159330437004925e-11,-8.413235226521036e-12,2.9825837111495755e-11,-4.548658621309223e-11,-2.4248716408217134e-11,-1.0415408176505557e-11,2.0091192065728322e-11,-1.8835424618801342e-11,-4.0247883454982246e-11,1.877864034210644e-11,3.4150975792514604e-13,-5.887483344863376e-12,9.024799181450657e-12,-3.0362657682234285e-11,-6.521823656354783e-12,-1.0263329876497148e-11,-1.5179944109595198e-11,8.057565927074453e-12,6.950516202405312e-12,5.665479954434354e-11,3.683243859275179e-11,-8.296168080336254e-12,-4.527154284001123e-12
14,111505,9.365708208974866e-11,2.2007169623076185e-11,-1.6153721602810262e-11,-3.489928535017188e-11,5.61070164193887e-12,1.3279860032586358e-11,-1.223670455291125e-11,1.4293866842903722e-11,-2.6055635333229147e-11,2.2357893069629924e-11,1.7544497562773948e-12,-2.390614373111241e-11,-4.93260113797514e-12,-9.587001358835716e-12,2.3824144069111776e-11,3.49914757917936e-13,6.8032492529119715e-12,5.779622321964308e-12,-9.978320427311864e-12,5.3501763615067734e-11,-9.092492521162348e-12,-2.9184568780457474e-11,-1.6674886233506203e-11,-2.327278251472036e-11,-5.1291847020730094e-11,-2.2729626937097535e-11,9.535517092709386e-12,1.902391528813585e-12,-4.331727945084716e-11,-8.815223316018243e-12,3.864201850620603e-11
15,112341,9.485789931318322e-11,1.451223413915422e-11,-3.860088363326677e-12,-9.136839823711467e-13,2.1318998940019736e-11,9.931160966258692e-13,2.0904840235571137e-11,2.074694258683664e-12,-3.3997173381970715e-11,-3.190526395796414e-11,-2.2649350076253105e-12,-1.809963959515566e-11,-1.8681879507539625e-11,5.306578631304963e-11,-7.242738633385541e-12,-2.9010657891759724e-11,2.1143854811352117e-11,-4.256378693027272e-11,1.5344552229043836e-11,-1.3405805236810459e-11,-6.096642908316843e-12,1.462575986950488e-11,1.2386561192570471e-11,-2.1900540644794252e-11,4.91490783576277e-11,-5.553165901375211e-12,-8.673848665481454e-12,2.1467714148942273e-11,9.781135246864176e-12,-4.8600754506540515e-11,1.3556034156142484e-11
16,112872,9.358247510249385e-11,1.2714619986329359e-11,-2.2479527354548362e-12,1.1370702488619703e-11,-7.661732912260653e-12,2.3939843475565382e-11,4.82983301666845e-11,1.2937327685047768e-11,1.9385385592401463e-11,1.5634178165334017e-11,-6.881543668718371e-12,-8.379451605491206e-12,3.08294875022999e-12,1.0852499035091601e-11,1.1595932049037792e-11,-1.205926483143635e-11,6.410976565098006e-11,4.8418171216586526e-11,1.176882603171688e-12,-2.276977657026158e-11,-1.6528858298507078e-11,6.4131335706430335e-12,-5.0216872482905495e-12,-7.526918296839495e-12,5.530157440513419e-11,2.6754005006811512e-11,1.2145960812612019e-11,1.4453882246544419e-11,1.695708970734578e-11,7.422545561753845e-13,7.674351082281131e-12
17,112359,9.900036346266461e-11,-6.539225400079289e-12,1.934656014115059e-11,-1.4176377083210691e-11,-7.490178550945276e-12,6.330189583358808e-11,2.5503355683230067e-11,-1.4458727536296165e-11,-3.671371600414417e-11,-1.2377832898825707e-11,-2.6265174739033994e-12,-1.6535027995869794e-11,4.115317502028925e-11,-2.92750107277648e-11,5.283777683882271e-11,-9.299947963238966e-12,1.3906008708997027e-11,1.5827425140744205e-11,-2.508760449132894e-11,1.8177422795585874e-11,8.196968346472396e-12,-1.5305507048929033e-11,4.7882362818702205e-11,-1.0050585017249484e-12,-8.195371298713109e-12,2.163318441292722e-12,1.1971954429446878e-11,1.2155484409279025e-11,-1.4073736095882312e-11,1.3903795463031808e-11,-2.953796161055028e-11
18,112465,9.898615260794941e-11,4.6008366456054403e-11,3.6234259128787624e-12,1.9678434751769158e-11,2.835532634936658e-12,2.851222297196408e-11,1.2762415806738737e-11,-1.56948377546044e-12,-3.7677349455339877e-11,1.3776377547620693e-11,2.6127674325490533e-11,5.65508589318139e-12,-1.445602270937919e-11,-2.524155247059344e-11,2.9121193824973794e-11,-2.955447522612584e-11,7.589857806120183e-12,-1.0538725146612316e-11,2.8011437674387242e-11,-2.4983216594060484e-12,-5.557060174013264e-12,-1.0155434340588138e-12,2.2598120288601266e-11,-5.614137615732971e-11,1.0434909925669706e-11,-4.746543196776412e-11,4.382426392888474e-11,-1.0749367711006399e-11,-1.6484671661574662e-11,-1.719133055737456e-11,-1.8890650253275943e-11
19,111571,9.82258718806861e-11,3.928366906420903e-12,-3.980769428970352e-12,-1.770124857547768e-11,-8.583292093863648e-12,7.089801094297407e-12,-2.7479282984013266e-11,-1.699330317641587e-11,-1.9354235836597545e-11,-1.1571892890666904e-11,1.4045249020297681e-11,-2.5960349531937555e-11,1.147957475212294e-11,2.184221677890027e-11,3.0424409834297922e-12,2.8164704868111226e-11,3.5685859203231054e-11,-1.884910931953477e-13,-1.545709075213193e-11,8.954112073227121e-12,-2.2669062489896418e-11,-2.9401715482883496e-11,1.5317202295952333e-11,-1.7057161769575574e-11,-1.2457208853143888e-11,4.549879501524159e-12,-7.088904701053963e-12,3.089959382187223e-11,3.684470059947031e-11,-3.842383148856662e-11,7.9212863387995e-11
20,112330,9.936984568525986e-11,-2.778383778286602e-11,-1.1499225414551158e-11,8.566796102461022e-12,-6.075815982863934e-12,2.2508948234150414e-12,-1.8107695513177375e-11,2.603118868741956e-11,-1.7736813195769479e-12,1.6338044752750352e-11,2.2826759843116845e-11,-2.4720021084336552e-11,8.351640014477934e-12,2.6350312538765387e-11,3.690179976611947e-11,-4.3079264590314584e-11,-5.0131524206599615e-12,-1.1365353405825434e-11,-8.892613617787101e-12,-3.8712795691205186e-11,-2.4263152329930615e-11,-5.064306313967947e-11,1.0967527412040996e-11,2.8346985840519574e-12,1.9239054108421164e-11,4.889266178305174e-12,3.299172778715373e-11,-5.187683117369627e-11,4.0881889896407866e-11,-1.3153329925446025e-11,-8.554168988555557e-12
21,112042,7.293765591498413e-11,-3.0192206143723085e-11,-5.3482772579069536e-12,1.8970320753854183e-11,-1.1161875569389326e-11,-1.238216916730014e-12,-1.3310236591075369e-11,-2.269586343758521e-12,-3.0006312231527645e-11,1.1807228966974393e-11,-1.8844130756232533e-11,-9.163143300272904e-12,2.997589556344758e-11,2.8737361183688074e-11,3.481104088331088e-11,1.6696169552099082e-11,2.7565413347125155e-12,3.957454293605867e-12,-2.4688612246096017e-11,-1.1701738721191246e-11,-7.3073309565937e-12,9.075274217102793e-12,-2.4291864580810784e-11,2.133575066533641e-11,-3.071201088351185e-11,1.0966268239206454e-11,2.7135889282498688e-12,-1.3106865227064814e-13,-2.3185709230494654e-11,-9.981710282902018e-12,3.6683622977875795e-12
22,111474,9.741940587559839e-11,3.374133149823189e-11,2.887098412782005e-12,1.7667398357652656e-11,3.606986405155522e-11,-2.273417710977661e-11,-7.877791503225718e-13,4.210607681058639e-11,-3.1845765497996553e-12,4.488853734102921e-12,-4.452170382738858e-11,8.02280358854469e-12,-2.9151873850608215e-11,3.6211425334424345e-11,-2.71285916985598e-12,-4.830705310254585e-12,-1.2111544320874608e-11,-1.6428510144698686e-12,-6.492071034712468e-12,-3.6021673604713054e-11,8.336276596803467e-13,1.608655850446538e-12,2.0646382343003592e-11,5.224575069450555e-11,-4.285984812969636e-11,-6.382554363287184e-12,1.241477212625115e-11,3.052865921683966e-11,2.564005091667033e-12,-1.746457849478634e-11,-2.3484943876934127e-11
23,114468,9.910339215934982e-11,2.1827367157339733e-11,-5.336453375547349e-11,1.2598602192687681e-11,1.2078146770629694e-11,-2.2254865927679837e-11,-3.905172741515463e-11,1.4882632060611707e-11,-1.9543061162272122e-11,3.8461487011085216e-11,-2.5296462708266028e-11,2.8638472394818642e-11,-2.22263229926857e-11,4.111893371440798e-12,-3.9831445911232936e-12,3.000230011245905e-11,4.48509132097688e-11,1.1539503853933143e-11,1.49176790649025e-11,1.100039372894028e-11,-7.821982044855541e-12,4.147124838862664e-11,-4.577734213602882e-11,-2.014809259755919e-11,-1.5409284697109643e-11,3.804362463875401e-12,-5.160074169615322e-12,1.054418046486899e-11,7.664178575163338e-12,-1.941793734143058e-11,1.414398670926841e-11
