Run,NF,fb,xb1,xb2,xb3,xb4,xb5,xb6,xb7,xb8,xb9,xb10,xb11,xb12,xb13,xb14,xb15,xb16,xb17,xb18,xb19,xb20,xb21,xb22,xb23,xb24,xb25,xb26,xb27,xb28,xb29,xb30,xb31,xb32,xb33,xb34,xb35,xb36,xb37,xb38,xb39,xb40,xb41,xb42,xb43,xb44,xb45,xb46,xb47,xb48,xb49,xb50
11,80027,9.724532290533716e-11,-3.645513953910736e-11,1.2125977508830393e-11,-2.5164162360842387e-11,1.4566637920788692e-11,-4.498242080793515e-12,1.3412320345708972e-11,-8.147410525782186e-13,-2.9071334633823717e-11,-2.4842041613044477e-11,2.6662589310290983e-11,-2.2190099244937116e-11,1.7567805176461584e-11,3.0949118442869826e-12,5.327121580235717e-11,5.650847684798989e-13,-4.100039363286422e-11,3.321773515213123e-11,2.3679838606977394e-12,-1.550351212400533e-11,-3.859190591600652e-11,2.4954343836694306e-11,-3.960297303458977e-12,1.898629020735291e-11,-7.282758812540422e-13,2.5243465183463417e-11,-1.1802679564652039e-12,-1.726681966079176e-11,-3.199029838447036e-11,1.6919863517636463e-11,3.327696497880939e-11,1.942630123572122e-12,-1.4393914671793646e-11,1.5015264621406478e-11,1.325722267117475e-11,-2.603616402338226e-11,1.3028920730710615e-11,8.0041661463496e-12,-4.266835431160936e-11,-2.320913026220451e-11,4.144072637470961e-11,1.9966417869776268e-11,-5.671804784789532e-12,3.7053624110135184e-11,-2.8446964756764305e-11,-1.728706606046385e-11,-3.685513121245401e-12,-5.11148224394838e-12,-4.9240921801305625e-11,2.071053210826655e-11,3.050835854696638e-11
12,77465,9.955103408287869e-11,2.7344052129475847e-11,2.573107154140881e-11,-3.395521790381549e-11,-1.3070030650459148e-11,1.0164131895002127e-11,-2.4859873497364014e-11,-1.560639633357847e-11,1.509524501596211e-11,3.5128075464250987e-12,2.4123953446544675e-11,2.529298911902312e-11,-3.830193806330798e-11,-9.382378865222152e-12,-5.35932808936194e-12,-4.710703194165626e-11,-1.145315807719978e-11,-4.102518271922235e-11,-2.208147244624629e-11,-3.6667378756025205e-11,-1.8435777009007362e-11,-3.099316214253437e-11,1.3976334541006376e-12,-2.329623957266577e-11,-2.0160772895004296e-11,-7.417141928188506e-12,1.6241352148390514e-11,-2.5011786453251694e-11,-3.944153107529201e-11,6.97476342680982e-12,2.4151909718634194e-11,3.828333176460975e-11,-3.111848872067667e-12,1.4485119405369853e-11,-6.343986798811474e-12,-4.7910455171220135e-11,-3.5949946513249166e-11,-7.591539325330348e-13,2.313020034676859e-11,-1.3268663987375373e-11,3.366663113048021e-11,-5.109560753019827e-11,-1.6800977356785705e-11,1.9366435954956824e-11,2.0496684113059032e-11,2.1794159255259106e-11,-1.3019463182796669e-11,-8.099515508004893e-12,3.663468100064859e-12,-2.797271061191773e-11,-2.4992394910541417e-11
13,79338,8.851985811020313e-11,-3.040399448214166e-11,1.83587002510728e-11,1.4621820422342915e-11,2.1352127250937365e-11,-8.713240869969434e-12,2.1968896806783362e-11,9.630928643421717e-12,2.7070709801566644e-12,-4.0272984476583106e-11,1.3292331738933337e-11,-5.11445053665513e-12,2.798571707751317e-11,-5.34328279334827e-11,3.5774738045584206e-12,3.919408550479948e-11,-2.2054405559699752e-11,7.348194131228857e-12,-9.486128396423677e-12,1.4189048153844932e-11,3.352779245562867e-11,3.30383146361348e-11,2.4258882613238182e-11,-2.8952150676307075e-12,-2.552701549882393e-11,-4.645355443868214e-12,-1.7313955216657645e-11,-4.107970524852107e-12,-1.7612056701983246e-11,1.0415465385560203e-11,-5.033319181491788e-11,2.2337890371994457e-11,3.0697535109229975e-11,-8.642536287383785e-12,-2.0706601917584204e-11,4.794106831480057e-12,-8.833379925835122e-13,7.919749171022479e-13,-5.0386701891679205e-12,-2.615330593055532e-11,-5.2910067498708256e-12,-1.618785185223321e-11,3.591353639312375e-11,-1.1088653135962441e-11,6.651594771469845e-12,1.7407573373312025e-11,2.4925524479945542e-11,-2.6092631431439394e-11,2.4333782276088106e-11,-2.410833523005906e-11,9.74510042108774e-12
14,80033,9.025358238545778e-11,1.5735174113909147e-11,-3.5418798479572e-11,7.681037112456093e-12,4.475989340771686e-12,-4.3526562863522557e-11,-3.408677006816183e-11,-1.7475319511756647e-11,-1.4249611192777076e-11,1.0873423060722607e-11,-3.7447595717299334e-11,-1.2740840336529903e-11,-1.6424670606609976e-11,-9.827731699373953e-12,3.835424166612426e-11,1.259175594569509e-11,3.367326257255028e-12,2.9963301903918673e-11,-4.313469451498573e-11,-1.2520008918149428e-11,-1.1238978249906312e-11,-1.660292841281221e-11,-1.5068719774182062e-11,-2.3471086236269603e-11,-2.7923450760963066e-12,1.1529034583836984e-11,-1.1856162640504737e-11,1.8650371112913736e-11,1.043627847258945e-11,3.024617965490613e-11,-1.1928045654548132e-11,7.157543217828897e-12,2.5762962002453173e-12,-1.9316584996617216e-11,7.121254585512039e-12,2.0902031932680297e-12,-1.5901885575212794e-11,-1.8077173989465326e-11,2.429367689740073e-11,5.894343397151783e-11,-1.576194322573057e-11,-2.8197379954454922e-11,1.682589137494716e-11,-5.778121818555831e-12,-1.0662319002082031e-11,2.6137120273503455e-11,3.33225854731168e-11,8.944618398009878e-12,-3.245219291815051e-12,2.4239631925831208e-11,-4.066219090555001e-11
15,78071,9.915313015085303e-11,-1.8008681799947935e-11,5.904886809735218e-12,-2.663404421514305e-11,-1.8249138806024278e-11,8.777512328968537e-12,6.725188173492926e-12,-1.5907639576210845e-11,-4.220324380586727e-11,-2.5505674632441812e-11,-4.273434622003012e-12,1.040424832661455e-11,-5.1904159791903763e-14,1.0463978809800243e-11,-6.1825962007023565e-12,2.1750928182683866e-13,2.689403018784721e-12,1.2662581466024854e-11,7.692923286371694e-12,2.953942283221041e-11,1.4733044556899053e-11,9.276825060607121e-13,-3.0704951264889414e-11,-2.726449624052365e-11,-1.7796106401820027e-11,-5.229159648238745e-11,6.96608466425553e-12,5.654184424031236e-11,-2.085020466365982e-11,-2.776709342958876e-11,-4.831920272846891e-11,4.761343123298742e-12,5.39306921999295e-12,5.158143486105685e-13,-2.5153984648140685e-11,-2.589149317467497e-11,-3.076513241321491e-11,3.525311248397269e-11,5.253699993101727e-12,-4.029815313663488e-11,1.145998367182497e-12,7.842122471582439e-12,-3.6774533149349307e-11,-2.3476351697371685e-11,4.609678484029261e-12,6.075768957871971e-11,-2.176960869275251e-11,-8.26180984778075e-12,5.235160511620712e-12,-1.1385762597356365e-11,-4.272042917288988e-11
16,79399,9.04560870651494e-11,2.6570779989550586e-11,1.3417641475756185e-11,2.9194128935698493e-12,1.8327845187361113e-11,2.033743792565048e-12,-3.597644080471653e-11,2.3933869037383826e-12,2.1090288438145867e-11,2.1563816112897497e-11,-1.8547888357859716e-11,1.586091061965469e-11,-1.1951168274946569e-11,2.2175897184131682e-11,-5.6059026977990934e-12,-1.892652569817286e-12,-4.506955329197806e-12,1.0569075611830093e-11,1.300504248673245e-11,-2.8830935125208076e-11,-2.457155573301732e-12,1.3821062146363014e-11,-3.354935666814603e-11,-1.3511367032618238e-11,-1.0156207648074484e-11,-1.5047339946343942e-11,-4.4456690498641815e-12,-2.9731337821516824e-13,5.249667242466505e-12,3.5553824228815864e-11,4.141893590512784e-11,-2.2194731755177148e-11,7.143736048510782e-12,-1.0069461562641625e-12,-5.8226671997515274e-12,2.163650315031302e-11,6.9447775883137725e-12,-1.9759959680842545e-12,-1.4993197180285876e-12,-3.541459621408142e-11,3.5830512901857756e-12,-6.7398576112752256e-12,-1.4598612795989507e-12,5.581106292555561e-11,-5.289181372284534e-12,-1.6815165183234685e-11,-3.5081884835279596e-12,4.5597472541054274e-11,7.751209192876806e-11,2.5025900872640325e-11,-1.727481827245809e-11
17,79576,9.971090619842471e-11,-2.2511501475366247e-11,1.6562489181906073e-12,-7.437435306822319e-12,5.292831202995788e-12,-1.9823718098480207e-11,-3.281361808011183e-11,3.569198424915077e-11,-4.365459827972398e-12,-2.5710922247275195e-11,-1.884701063793832e-11,-9.290482256987602e-13,-2.1329716960815773e-11,-1.2435874716063535e-11,-3.570524495113382e-11,-7.229922071399274e-12,-1.9954405137802515e-12,2.1871323646538627e-12,-3.534941289932602e-11,3.028618688029336e-11,-4.2763692014941365e-11,1.930285029573681e-12,2.468294446053226e-11,-9.524471791699651e-12,-1.2146454670530828e-11,-5.2318844551198624e-11,1.918840599347446e-11,1.5444692235104322e-11,6.502571163869617e-12,-6.232376926554815e-12,-1.7616739326211145e-11,2.913581017367976e-11,7.562514742401685e-12,-5.021142707621371e-11,5.4733495002359845e-11,1.3307202166172955e-11,-2.8382778150548006e-11,1.1631999324661831e-11,-1.914229722899479e-11,-1.5554548454151533e-11,-2.326460232889998e-11,-4.2235766522355606e-11,-2.1560027828912668e-12,3.1387425447144314e-11,-3.515063377155428e-11,-2.6401178005454935e-11,-4.5336120252311643e-11,2.2680621758000518e-11,-1.1493778143701256e-11,6.720408596063622e-12,4.845477412455545e-12
18,77818,8.497780257243903e-11,-2.749288201583685e-11,1.887974484599435e-11,3.8403252287081447e-11,2.4026075789923534e-11,3.1334829249342764e-11,2.2203301829615184e-11,2.2746227672368428e-11,-6.893511650581745e-12,-2.178159866698327e-11,-1.8298688567294994e-11,1.4758060173431703e-11,-8.375239746382391e-12,-9.323710680574962e-12,1.8524682853017165e-11,-6.514737465614692e-12,-6.831652762705911e-11,9.573998838334855e-12,-8.446114554280114e-12,4.9875353124229984e-11,-2.1018112827771455e-12,-7.950970233239006e-12,-2.3012141143863622e-11,-1.1691981411780493e-12,5.846079134090294e-12,-1.3187770376833202e-11,-3.823731130252223e-12,2.3070527097832336e-11,-3.054934100695549e-11,8.104814734138898e-12,-3.4543868966072084e-11,3.345054349867273e-12,-1.4524144418906008e-12,1.3344298028070904e-11,7.758434224953172e-12,2.14744545012604e-12,5.253075129305484e-11,2.3186956133919207e-11,9.245004511335167e-12,1.6238531900035752e-12,4.192361888063668e-12,-7.967553376954986e-12,-3.9154768465102486e-12,-1.267054204746026e-11,-5.929590273239066e-12,-4.07446437789113e-12,3.2057248265077735e-12,-1.4246940124491316e-12,6.931108605879996e-13,2.8799271007881366e-11,-1.1723640789011498e-11
19,78948,9.627187935734582e-11,1.0194852165618124e-11,-2.0114697913855017e-11,-2.1698957560784704e-11,-2.122560890070206e-11,1.5849032605237494e-11,2.8837693956121446e-11,-3.9615089010090004e-11,-2.1776844092123365e-12,-8.552226674029073e-12,-3.240693403419482e-11,2.0976747456640208e-11,-8.805784112717477e-11,-1.0017791944163134e-11,6.4176993267038285e-12,-7.948011298391969e-13,-1.4484215494034015e-11,1.2450690322070087e-11,3.364489347050594e-11,2.006121706548059e-12,-1.300954381987321e-11,2.819172787019869e-11,-4.5193688465172595e-13,4.963164602140153e-12,-4.233269038297835e-12,-4.1542861453977325e-11,-4.19781820719454e-11,-1.555103636052779e-13,-1.5013738880458322e-11,-2.7544430046694106e-12,2.418975244698304e-11,-5.087602472165287e-11,-2.4460872777625096e-12,-6.974643622570882e-14,8.9711979740082e-12,2.6642082711959033e-11,-5.1766407336810956e-11,-4.3760271748494276e-12,-8.372171600626999e-12,1.6692954372033856e-11,7.450654937998137e-12,2.354237837288666e-13,1.2712659183856576e-11,4.993767424588749e-12,-1.2896585161146832e-11,1.5860769068398746e-11,-1.7197272698073682e-11,1.3466874706111876e-12,-3.158916573140502e-11,1.4668648258916916e-11,-4.142731017719079e-13
20,78993,9.475131790281921e-11,-2.5302182143698164e-11,2.806555333556197e-11,-3.763741489495333e-11,-4.3460722093340554e-12,3.169783762252365e-11,-4.824237571661292e-12,-2.5071760027104487e-11,-3.9887977441155135e-12,-1.1793804245521605e-12,3.266961617935036e-12,-1.8093700444547194e-11,2.7431801950772626e-11,2.2531105167578042e-11,-1.255320861432717e-11,3.224386104378915e-11,-8.353185557666912e-12,8.68914092995682e-12,3.089324600632396e-11,-5.493925757079311e-11,-2.585502424771897e-12,-2.0314982648412467e-11,-1.463364059217904e-11,-4.246929340783269e-11,-1.8220389496004477e-11,2.469553353770612e-12,-2.300948576175959e-11,-1.9108638664733803e-11,-2.324734658754785e-11,-2.9060785930633e-12,1.7362882603617915e-11,2.2905750571066777e-11,-7.546563223334664e-12,2.3385487819265165e-11,-2.987590118905728e-11,-6.549650064194748e-12,-1.5631155563103381e-12,2.3959434987085433e-11,-1.8950884019626692e-11,3.4717175594032366e-11,1.3843877855439047e-11,-2.7586072242739197e-13,-2.2196917442781467e-11,-2.8087663733774245e-12,-8.222576516784732e-12,-3.1524532658743696e-11,1.8861076363472203e-11,-4.354730438642209e-11,-2.925316040932119e-11,5.4913529688017927e-11,1.6720013925241797e-12
21,78431,9.479395046696482e-11,1.3273228119525799e-11,1.2863160739331792e-12,-3.431429596998741e-12,-1.740514729078623e-11,-3.3191099436122743e-11,2.8948957150569606e-11,-1.0643981223714009e-11,9.106401430517573e-12,1.6328851874832768e-11,-1.0793062609588811e-11,7.513003743036113e-11,-2.5471340204971632e-11,8.508223340716984e-12,-1.710225508306271e-11,-1.0258886074872804e-11,-5.432186088044558e-12,4.2401259800912445e-11,1.734498965066233e-11,-1.609157776139713e-11,2.2896705891680768e-11,2.2861353916222364e-11,-2.064124842648396e-11,-5.524560457108419e-12,1.1675035946593516e-11,-2.3760002670018783e-11,-1.1303159173700788e-11,-1.8457394336134156e-11,2.8374128467128334e-11,8.498454611438179e-13,9.943887596127443e-12,3.581189765138524e-11,3.7162458497312844e-11,3.114442742010704e-11,2.1502086004710056e-11,-6.5139913415092444e-12,9.018187488888477e-12,-9.494300175030411e-12,4.929491839330413e-11,-1.953621399110114e-11,3.705470581901158e-12,-1.1537939906373719e-11,3.4561279878706025e-11,2.2244511294047704e-11,-3.300562493445812e-11,3.1716766414801453e-12,2.3199346476757093e-11,-1.6762389654936436e-11,-3.3710399683722475e-11,1.4002233553707988e-11,-1.1480840051282113e-11
